epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,21.6622,0,0.32591,0,0,0,0,0,0,0.27743,0,0.0711235,0.000123482,0.000123482
31,22.3858,0,0.32621,0,0,0,0,0,0,0.2445,0,0.0701218,0.0001218,0.0001218
32,23.0664,0,0.28244,0,0,0,0,0,0,0.2445,0,0.0691197,0.000119722,0.000119722
33,23.7471,0,0.28476,0,0,0,0,0,0,0.2445,0,0.0681172,0.000117248,0.000117248
34,24.4977,0,0.28631,0,0,0,0,0,0,0.21754,0,0.0671144,0.000114378,0.000114378
35,25.2078,0,0.25173,0,0,0,0,0,0,0.21754,0,0.0661111,0.000111112,0.000111112
36,25.8913,0,0.24988,0,0,0,0,0,0,0.21754,0,0.0651075,0.00010745,0.00010745
37,26.5664,0,0.25255,0,0,0,0,0,0,0.21754,0,0.0641034,0.000103392,0.000103392
38,27.3511,0,0.25362,0,0,0,0,0,0,0.19484,0,0.0630989,9.8938e-05,9.8938e-05
39,28.1017,0,0.22631,0,0,0,0,0,0,0.19484,0,0.0620941,9.4088e-05,9.4088e-05
40,28.7852,0,0.22431,0,0,0,0,0,0,0.19484,0,0.0610888,8.8842e-05,8.8842e-05
41,29.4625,0,0.22297,0,0,0,0,0,0,0.19484,0,0.0600832,8.32e-05,8.32e-05
42,30.2003,0,0.22634,0,0,0,0,0,0,0.17577,0,0.0590772,7.7162e-05,7.7162e-05
43,30.9201,0,0.2015,0,0,0,0,0,0,0.17577,0,0.0580707,7.0728e-05,7.0728e-05
44,31.6631,0,0.20334,0,0,0,0,0,0,0.17577,0,0.0570639,6.3898e-05,6.3898e-05
45,32.4794,0,0.2041,0,0,0,0,0,0,0.17577,0,0.0560567,5.6672e-05,5.6672e-05
46,33.2182,0,0.20139,0,0,0,0,0,0,0.15964,0,0.0550491,4.905e-05,4.905e-05
47,33.9492,0,0.18402,0,0,0,0,0,0,0.15964,0,0.054041,4.1032e-05,4.1032e-05
48,34.7145,0,0.18514,0,0,0,0,0,0,0.15964,0,0.0530326,3.2618e-05,3.2618e-05
49,35.547,0,0.18409,0,0,0,0,0,0,0.15964,0,0.0520238,2.3808e-05,2.3808e-05
50,36.4355,0,0.18452,0,0,0,0,0,0,0.14721,0,0.0510146,1.4602e-05,1.4602e-05
1,3.10489,1.84647,3.74327,1.82497,0.00331,0.70833,0.17254,0.11916,2.00216,4.3078,1.56924,0.1,0,0
2,5.60201,2.28015,3.88474,1.90538,0.0033,0.70833,0.18492,0.13915,2.02033,4.19068,1.57304,0.0990098,9.802e-06,9.802e-06
3,8.06402,2.0367,3.85495,1.73366,0.00258,0.54167,0.09142,0.06221,2.07452,4.46079,1.55084,0.0980192,1.9208e-05,1.9208e-05
4,10.5783,1.56113,3.8607,1.45464,0.00255,0.54167,0.09519,0.03705,1.83466,4.23501,1.45115,0.0970282,2.8218e-05,2.8218e-05
5,12.9831,1.44285,3.52163,1.53587,0.00417,0.66667,0.17322,0.08712,1.84837,4.18898,1.45761,0.0960368,3.6832e-05,3.6832e-05
6,15.7825,1.21216,3.4735,1.24616,0.00302,0.66667,0.17251,0.0894,1.85131,4.02743,1.48426,0.0950451,4.505e-05,4.505e-05
7,18.3397,1.45465,3.52183,1.32502,0.00307,0.66667,0.17106,0.07689,1.95054,4.36232,1.55691,0.0940529,5.2872e-05,5.2872e-05
8,20.8133,1.42693,3.32015,1.29257,0.00332,0.66667,0.09484,0.045,2.17165,4.38131,1.71089,0.0930603,6.0298e-05,6.0298e-05
9,23.4666,1.92658,3.64821,1.57699,0.00332,0.66667,0.09484,0.045,2.17165,4.38131,1.71089,0.0920673,6.7328e-05,6.7328e-05
10,25.9405,1.04486,3.16932,1.1732,0.00333,0.66667,0.06571,0.03768,2.24057,4.52413,1.7803,0.091074,7.3962e-05,7.3962e-05
11,28.4059,1.37064,3.26378,1.29386,0.00333,0.66667,0.06571,0.03768,2.24057,4.52413,1.7803,0.0900802,8.02e-05,8.02e-05
12,30.9776,1.65594,3.24494,1.33868,0.00334,0.66667,0.04994,0.01842,2.48361,4.8371,2.09578,0.089086,8.6042e-05,8.6042e-05
13,33.4488,1.32931,3.38138,1.27882,0.00334,0.66667,0.04994,0.01842,2.48361,4.8371,2.09578,0.0880915,9.1488e-05,9.1488e-05
14,35.9596,1.24993,3.30083,1.38599,0.00216,0.41667,0.02779,0.00567,2.7595,4.90751,2.38671,0.0870965,9.6538e-05,9.6538e-05
15,38.4213,1.1386,2.67962,1.15325,0.00216,0.41667,0.02779,0.00567,2.7595,4.90751,2.38671,0.0861012,0.000101192,0.000101192
16,40.9557,1.3251,2.94573,1.31318,0.0025,0.54167,0.03037,0.00596,2.878,4.76161,2.72694,0.0851054,0.00010545,0.00010545
17,43.5523,1.41197,2.94612,1.14402,0.0025,0.54167,0.03037,0.00596,2.878,4.76161,2.72694,0.0841093,0.000109312,0.000109312
18,46.2759,1.70134,3.28416,1.22997,0.00198,0.41667,0.0154,0.00383,3.01601,4.78136,2.97608,0.0831128,0.000112778,0.000112778
19,48.8238,1.0868,2.77764,1.08203,0.00198,0.41667,0.0154,0.00383,3.01601,4.78136,2.97608,0.0821158,0.000115848,0.000115848
20,51.399,1.24806,2.67891,1.30959,0.00196,0.41667,0.0121,0.00246,2.98363,5.07717,3.12912,0.0811185,0.000118522,0.000118522
